Geneid	Length	Obp56h_KO_M_1	Obp56h_KO_M_2	CSB_M_1	CSB_M_2
FBgn0051453	2108	46	81	116	87
FBgn0037591	1170	0	1	4	4
FBgn0037590	1173	0	1	15	5
FBgn0037608	1036	256	269	223	218
FBgn0037610	1254	106	70	91	117
FBgn0037611	946	31	31	73	19
FBgn0037612	2229	0	0	0	0
FBgn0037614	2812	628	688	473	540
FBgn0037615	1908	47	45	29	42
FBgn0037616	1620	26	26	25	24
FBgn0037617	1862	106	136	133	129
FBgn0037618	1141	1	3	7	8
FBgn0037619	1328	90	87	114	121
FBgn0037622	3092	219	236	167	279
FBgn0037624	2253	71	91	33	59
FBgn0037626	1562	9	11	28	5
FBgn0037630	2139	117	100	60	87
FBgn0037632	1964	728	804	716	773
FBgn0037634	1207	146	145	126	137
FBgn0040532	774	4590	5270	6827	4923
FBgn0037638	2450	454	499	392	473
FBgn0011966	73	28	29	6	4
FBgn0037637	955	2971	3108	1941	2845
FBgn0037636	6529	63151	66710	46134	44829
FBgn0037633	2186	133	147	98	152
FBgn0053189	677	60	62	30	71
FBgn0053191	1545	26	35	46	38
FBgn0037627	1271	139	119	65	94
FBgn0037625	7452	10	8	1	5
FBgn0037623	3659	818	822	565	848
FBgn0037621	1519	413	409	422	348
FBgn0037620	1159	62	69	61	53
FBgn0037613	3024	83	96	68	90
FBgn0001180	3835	207	223	188	198
FBgn0053325	965	0	1	23	1
FBgn0037609	1021	238	266	176	202
FBgn0037643	2282	7081	7913	6236	7152
FBgn0037646	1142	234	229	223	232
FBgn0027503	5607	939	1011	841	927
FBgn0037648	1733	624	589	595	529
FBgn0037650	857	19	17	26	26
FBgn0037652	1238	335	317	307	369
FBgn0037653	1575	493	585	328	527
FBgn0037654	1813	39	34	67	58
FBgn0037656	1262	58	34	34	63
FBgn0037657	2479	643	604	624	611
FBgn0028708	1463	208	258	198	220
FBgn0037659	5489	1803	2038	1465	2009
FBgn0037661	1121	22	29	17	21
FBgn0037662	1525	129	103	63	135
FBgn0037664	2330	2	5	29	6
FBgn0037665	1528	15	4	5	2
FBgn0037666	1139	0	1	7	0
FBgn0037667	1393	27	27	39	39
FBgn0037670	963	111	110	86	86
FBgn0037671	1468	2541	2356	2061	2468
FBgn0010803	1683	272	356	238	330
FBgn0037672	1428	58	57	64	34
FBgn0037669	708	60	55	62	63
FBgn0037668	908	0	5	3	1
FBgn0000412	1877	2170	2295	1776	1927
FBgn0003165	11798	16590	17108	12438	13853
FBgn0037660	1882	395	463	338	450
FBgn0010222	1516	277	302	145	212
FBgn0002932	4309	463	469	433	432
FBgn0040534	370	261	306	235	227
FBgn0037655	2989	2903	3104	2223	2841
FBgn0026380	914	385	436	359	403
FBgn0051100	2688	517	499	447	519
FBgn0037647	1408	276	215	246	254
FBgn0037645	4569	9	5	67	10
FBgn0037644	1885	310	324	286	352
FBgn0037675	592	37	28	27	21
FBgn0037680	1748	424	435	372	371
FBgn0037683	1282	182	165	170	147
FBgn0037684	1727	361	392	223	307
FBgn0037685	1179	12	18	18	6
FBgn0037687	1069	196	196	193	178
FBgn0037689	2767	0	0	0	0
FBgn0011740	4002	529	602	465	676
FBgn0037697	2325	1090	1223	811	982
FBgn0037696	913	141	187	226	158
FBgn0037690	1727	407	493	330	427
FBgn0003889	1841	26	32	23	27
FBgn0037688	1578	386	461	354	383
FBgn0037686	927	5114	4945	3732	5423
FBgn0000723	5128	1558	1817	1298	1802
FBgn0037679	2113	400	358	282	405
FBgn0037678	873	21	12	22	15
FBgn0037677	857	0	0	14	11
FBgn0037676	2682	2444	2634	1354	2042
FBgn0037700	1156	538	602	528	462
FBgn0014022	1444	177	208	176	169
FBgn0037703	3186	329	356	268	424
FBgn0037702	5116	3073	3216	2820	2873
FBgn0037707	1370	270	267	199	319
FBgn0037709	1750	193	270	197	268
FBgn0027950	1225	661	636	661	440
FBgn0037712	2734	172	175	117	194
FBgn0037717	3094	1186	1247	962	994
FBgn0037718	2217	828	891	747	882
FBgn0037720	4218	2261	2282	1887	2228
FBgn0037722	1295	227	185	143	194
FBgn0037723	1705	103	115	152	95
FBgn0012344	2402	2145	2055	1205	1700
FBgn0037727	2197	188	234	205	231
FBgn0037728	1120	1743	1859	1635	1806
FBgn0028997	1392	4	3	26	7
FBgn0037731	1263	2	4	0	2
FBgn0052939	1264	0	0	0	0
FBgn0003886	1560	11	17	30	6
FBgn0002431	9083	6293	6384	4770	6310
FBgn0037734	3679	1613	1475	1271	1488
FBgn0051352	4280	1816	1858	1128	1517
FBgn0053105	3554	0	0	0	0
FBgn0260463	3984	18	10	16	18
FBgn0069242	946	279	293	298	267
FBgn0037730	2062	147	147	100	137
FBgn0037726	14650	312	233	380	294
FBgn0037724	1177	8	8	15	4
FBgn0003334	4069	1803	1824	1680	1641
FBgn0005585	1677	4583	5576	3805	4750
FBgn0037721	961	606	716	784	545
FBgn0027338	2867	4044	4100	3715	3896
FBgn0037715	1410	1242	1407	1041	1241
FBgn0037714	681	636	769	599	754
FBgn0037713	1028	63	121	160	116
FBgn0037710	1589	230	279	181	196
FBgn0024833	1755	954	1065	911	952
FBgn0037708	1652	65	96	122	107
FBgn0037705	7274	14066	13404	9581	11277
FBgn0000244	4774	1610	1820	1145	1665
FBgn0014023	905	203	246	211	229
FBgn0003205	1958	2132	2054	1592	1793
FBgn0014380	1412	269	342	235	313
FBgn0037698	12531	9679	10570	7254	8992
FBgn0037737	1847	545	571	278	431
FBgn0051415	720	4	4	13	9
FBgn0005777	2509	746	825	617	753
FBgn0037743	2527	766	753	590	716
FBgn0037744	1410	669	744	346	704
FBgn0037751	2652	12	14	16	11
FBgn0037753	1695	72	41	59	30
FBgn0037754	3500	2963	3315	2377	2602
FBgn0037756	1384	661	672	731	730
FBgn0037757	3515	574	559	462	562
FBgn0037759	2069	23	11	28	12
FBgn0037761	990	1	1	4	0
FBgn0037762	933	1	0	6	7
FBgn0037770	3071	933	978	659	897
FBgn0037766	4539	2211	2348	1457	1743
FBgn0037765	900	2	5	4	3
FBgn0037763	980	3	3	4	4
FBgn0037760	5638	2721	2962	1922	2490
FBgn0037758	3180	1940	1896	1169	1941
FBgn0037755	3095	459	528	244	468
FBgn0002868	700	9213	14095	15138	12193
FBgn0037750	2184	46	49	37	45
FBgn0037749	956	358	417	422	349
FBgn0024330	2121	459	399	537	366
FBgn0037742	1452	15	11	29	41
FBgn0037741	3376	201	217	131	198
FBgn0037739	1519	223	176	96	184
FBgn0037736	4429	2410	2602	1963	2293
FBgn0037772	2299	8	7	16	15
FBgn0027524	1102	114	152	137	140
FBgn0037778	1512	125	131	117	114
FBgn0037780	2061	495	571	335	592
FBgn0051410	661	0	0	0	0
FBgn0037783	708	0	1	0	0
FBgn0041105	2454	41	59	64	76
FBgn0037788	2376	1780	2047	1549	1795
FBgn0051477	490	1	3	10	2
FBgn0037796	2507	1737	1803	1232	1488
FBgn0040238	3314	683	580	470	753
FBgn0037794	2006	422	390	335	327
FBgn0037792	3504	141	128	118	123
FBgn0004889	5059	5400	5478	3649	4550
FBgn0001321	2674	87	53	44	83
FBgn0028734	4904	3611	3631	2996	2973
FBgn0037786	1486	7	4	13	13
FBgn0037782	661	0	0	14	0
FBgn0037781	1248	14	5	10	10
FBgn0037779	1002	258	275	223	236
FBgn0037777	770	214	241	285	163
FBgn0053208	16335	9100	9761	6849	9151
FBgn0051407	900	12	25	26	29
FBgn0037773	1311	28	30	40	39
FBgn0045473	1194	16	13	12	11
FBgn0037797	855	8	4	10	3
FBgn0037801	3197	242	276	147	226
FBgn0040078	1659	281	260	252	224
FBgn0037809	1001	109	123	178	90
FBgn0037810	4875	462	396	487	405
FBgn0037811	2407	27	18	24	36
FBgn0051406	1010	7	3	3	3
FBgn0015396	3860	311	346	211	385
FBgn0020379	5557	999	988	698	963
FBgn0037807	2601	557	651	530	591
FBgn0011970	82	9	10	3	19
FBgn0037802	1114	46	53	64	50
FBgn0037798	1060	228	259	194	193
FBgn0025879	1591	1261	1543	1138	1505
FBgn0045443	1630	13	31	12	23
FBgn0037815	819	56	20	32	45
FBgn0037817	1621	152	243	173	226
FBgn0037816	1829	92	114	59	105
FBgn0024957	2901	1235	1490	1078	1401
FBgn0037814	3628	404	417	337	418
FBgn0037824	487	7	11	24	17
FBgn0037827	1104	2	2	14	10
FBgn0037831	4087	651	777	494	716
FBgn0037832	1005	1	7	21	3
FBgn0017577	2452	47	29	32	15
FBgn0037835	740	1982	2364	1542	1422
FBgn0037838	2022	172	147	86	164
FBgn0037841	866	42	17	31	29
FBgn0037843	1503	1219	1112	1271	871
FBgn0037844	1260	2	6	5	6
FBgn0037848	1791	373	374	289	385
FBgn0037849	2357	843	757	751	613
FBgn0011768	1337	413	537	455	661
FBgn0037846	1962	249	235	219	308
FBgn0037845	1369	40	38	27	63
FBgn0037842	1017	250	249	186	235
FBgn0037837	2630	11	11	49	14
FBgn0037834	1528	206	246	196	262
FBgn0010421	1118	322	271	276	239
FBgn0051390	901	243	235	232	225
FBgn0051272	2102	9	9	15	13
FBgn0037829	1749	1	0	36	0
FBgn0004841	3223	175	152	137	126
FBgn0037828	681	5	5	0	8
FBgn0037826	1661	3	2	11	4
FBgn0051373	721	8	0	2	6
FBgn0051278	883	58	61	53	48
FBgn0051467	1694	8	15	24	22
FBgn0051391	1704	1	13	12	21
FBgn0037819	1165	755	790	444	576
FBgn0037818	1377	223	234	223	268
FBgn0037856	3180	381	452	364	444
FBgn0037857	1408	0	2	6	3
FBgn0037855	3115	565	615	435	666
FBgn0042094	1522	225	262	275	257
FBgn0037853	1642	201	220	205	244
FBgn0037852	2161	341	329	265	308
FBgn0037850	1116	32	38	31	29
FBgn0037862	2566	3	1	35	3
FBgn0040257	1595	2	10	16	5
FBgn0040259	1994	913	911	943	1118
FBgn0027584	2098	463	378	1263	1299
FBgn0040252	2032	0	0	20	5
FBgn0037870	810	8	3	11	3
FBgn0037874	1652	12427	12691	15974	13056
FBgn0037876	1187	208	231	166	198
FBgn0020910	2231	8022	8695	7348	12480
FBgn0037879	1109	12	16	6	12
FBgn0037880	1409	83	74	46	97
FBgn0037883	487	88	73	60	42
FBgn0037885	880	62	75	83	64
FBgn0051441	1223	65	38	51	64
FBgn0051388	1562	438	429	382	413
FBgn0037889	873	0	8	7	3
FBgn0037891	1817	3712	3528	2407	3067
FBgn0037890	1317	1165	1241	999	895
FBgn0037888	898	2	4	4	1
FBgn0037884	2004	705	737	684	651
FBgn0037882	1263	116	68	77	123
FBgn0037881	2322	785	929	714	868
FBgn0037878	1372	177	239	171	224
FBgn0037877	1909	583	556	375	570
FBgn0037875	2003	410	393	380	386
FBgn0037873	906	733	704	330	845
FBgn0040250	1737	2	1	5	1
FBgn0026315	1781	217	272	148	225
FBgn0026314	1672	1630	1746	1549	2203
FBgn0040255	1739	66	49	53	41
FBgn0040253	1584	14	10	30	17
FBgn0040251	2556	50	37	61	46
FBgn0040256	1671	901	1112	566	842
FBgn0037860	983	2	1	1	9
FBgn0037892	716	201	244	173	199
FBgn0011774	2149	64	112	106	115
FBgn0037894	3311	168	219	207	272
FBgn0037897	7465	963	986	723	994
FBgn0037898	528	57	70	57	48
FBgn0037900	1752	155	218	174	262
FBgn0037902	1613	520	536	258	520
FBgn0046225	3785	444	496	371	512
FBgn0037908	1864	231	223	245	288
FBgn0037906	1775	321	345	169	300
FBgn0051374	3720	949	1037	767	851
FBgn0037901	1947	133	118	145	132
FBgn0037899	773	2387	2621	3113	2598
FBgn0037896	1937	300	336	223	344
FBgn0037895	1990	366	384	323	470
FBgn0026064	4988	0	0	0	0
FBgn0026063	4988	0	0	0	0
FBgn0037910	725	1	1	3	1
FBgn0037911	1969	217	225	200	245
FBgn0037916	2601	7	2	21	1
FBgn0037917	2383	2076	1960	2035	1675
FBgn0037920	1458	177	215	126	123
FBgn0037922	1319	1	4	10	8
FBgn0042205	1378	58	77	66	48
FBgn0037924	4250	714	754	700	685
FBgn0037926	4315	376	420	317	380
FBgn0037930	640	79	72	97	93
FBgn0037933	1123	436	434	331	419
FBgn0037939	2107	8	13	12	17
FBgn0025821	887	0	5	15	2
FBgn0037940	654	2	0	4	4
FBgn0037941	3469	761	757	388	783
FBgn0037942	1311	239	188	152	200
FBgn0037943	2063	621	716	468	523
FBgn0037944	5196	1624	1532	1550	1483
FBgn0002906	4806	285	288	251	264
FBgn0037937	836	15	8	9	24
FBgn0042110	1241	20	5	32	19
FBgn0037936	1439	618	766	385	662
FBgn0037935	2886	683	619	529	606
FBgn0037934	2781	266	257	196	298
FBgn0011290	1234	741	691	650	646
FBgn0037931	2946	245	350	329	302
FBgn0037923	1387	96	63	55	50
FBgn0037921	3138	55	78	39	62
FBgn0051363	2522	4009	4461	2975	3599
FBgn0037918	4451	1886	1957	1731	1819
FBgn0037915	2783	0	2	21	3
FBgn0037950	1872	380	338	324	301
FBgn0019624	796	6722	7746	7372	5894
FBgn0003312	1773	4	3	44	20
FBgn0051368	4630	370	399	327	414
FBgn0037964	2062	29	34	48	36
FBgn0051211	2927	4403	4225	3264	3935
FBgn0013276	2375	24	16	13	20
FBgn0000147	1577	15	19	25	29
FBgn0037970	1086	0	0	0	0
FBgn0037976	1621	895	927	436	690
FBgn0037975	1187	237	358	308	293
FBgn0037974	1628	118	84	79	97
FBgn0037973	1131	647	854	860	596
FBgn0037972	1171	3	9	15	9
FBgn0013275	2382	22	33	30	23
FBgn0037963	7255	2383	2462	1791	2189
FBgn0037962	939	11	10	14	11
FBgn0037960	1952	174	225	207	195
FBgn0037958	2492	100	86	114	146
FBgn0037956	3050	1258	1208	858	1139
FBgn0037955	1873	589	535	450	658
FBgn0051116	5892	2815	2926	2023	2902
FBgn0025802	6782	1453	1594	1111	1607
FBgn0037949	5206	3988	4016	2475	3676
FBgn0017581	6807	77790	82310	61096	61744
FBgn0037979	4040	764	804	565	753
FBgn0037981	1395	163	169	153	149
FBgn0037985	2384	19	11	18	11
FBgn0051361	4475	1315	1383	789	1151
FBgn0011905	72	0	0	0	0
FBgn0037995	1427	1	6	7	1
FBgn0037994	2232	4	6	9	11
FBgn0037993	3490	838	824	586	712
FBgn0037992	1459	5	11	5	6
FBgn0037989	7379	2195	2345	1596	2370
FBgn0037988	1600	3	1	3	5
FBgn0037987	902	1	1	0	0
FBgn0051358	3625	0	0	0	0
FBgn0037980	1897	91	121	70	133
FBgn0037978	2652	371	359	277	343
FBgn0051356	72	0	0	0	0
FBgn0038000	1448	0	3	0	0
FBgn0038003	953	0	2	3	2
FBgn0038008	2406	3	12	19	15
FBgn0003651	5595	1861	1828	1642	1560
FBgn0038009	411	11	10	42	24
FBgn0038011	1767	5	3	27	28
FBgn0038012	1690	3	0	14	1
FBgn0038017	1115	47	50	62	56
FBgn0010038	734	39	38	58	50
FBgn0010039	746	344	384	262	353
FBgn0010040	725	4	7	0	4
FBgn0010041	840	3	6	9	7
FBgn0010042	780	1	0	0	1
FBgn0010043	756	0	0	6	0
FBgn0010044	808	16	12	20	20
FBgn0038029	1121	40	35	49	51
FBgn0053098	1244	32	46	29	33
FBgn0038038	1576	873	1091	654	1063
FBgn0038039	2180	312	345	322	438
FBgn0082831	6730	3222	3040	2521	3181
FBgn0038043	777	452	410	347	349
FBgn0038045	1194	22	29	59	32
FBgn0038047	1623	9	24	12	30
FBgn0038049	1355	285	270	222	381
FBgn0043043	1357	19	19	29	15
FBgn0029512	1167	177	204	128	212
FBgn0038046	1365	386	401	233	423
FBgn0004103	2203	7685	6881	5812	6083
FBgn0038042	1194	347	433	381	450
FBgn0000455	1951	325	297	233	345
FBgn0038037	1758	1585	1903	1244	2138
FBgn0038034	2039	134	159	174	198
FBgn0038028	1754	9	0	12	2
FBgn0038020	786	427	473	483	565
FBgn0042206	876	62	34	71	58
FBgn0038018	1014	2	1	4	5
FBgn0038016	3864	1039	1036	842	1062
FBgn0038014	952	4	1	21	0
FBgn0038013	1212	148	186	156	174
FBgn0051432	72	0	0	0	0
FBgn0038007	1777	1	2	18	3
FBgn0038006	1577	0	0	9	1
FBgn0038005	1561	3	0	16	0
FBgn0011270	1085	3	8	14	8
FBgn0038001	914	4	0	3	0
FBgn0037999	1393	75	48	49	70
FBgn0037998	4839	593	616	581	775
FBgn0037996	1861	3	1	6	1
FBgn0038052	1328	17	18	20	14
FBgn0038053	2004	1199	1162	964	1291
FBgn0038054	733	69	74	45	78
FBgn0038055	1746	313	258	165	363
FBgn0038057	1652	110	117	104	84
FBgn0051354	2347	15	17	8	9
FBgn0013278	2347	108	71	46	71
FBgn0013279	2386	15	12	8	15
FBgn0028374	1033	892	886	495	602
FBgn0038065	1860	1835	1909	1358	1929
FBgn0260444	2189	318	263	256	320
FBgn0042207	1188	4	0	6	2
FBgn0038067	1248	0	0	0	0
FBgn0038068	1330	3	0	0	2
FBgn0038069	1379	4	0	3	5
FBgn0038071	2464	119	101	128	182
FBgn0038072	2952	690	589	577	609
FBgn0038073	4562	1	1	22	8
FBgn0038074	990	1518	2048	1167	1212
FBgn0011745	1469	766	855	701	752
FBgn0038079	1334	7	14	9	7
FBgn0016693	2896	2281	2361	1953	2165
FBgn0038080	601	63	104	81	105
FBgn0038082	1710	3	2	10	3
FBgn0038084	2229	294	411	263	283
FBgn0038083	1667	25	74	37	20
FBgn0002719	3074	11216	11196	7430	9663
FBgn0002905	6420	175	145	174	165
FBgn0038078	614	1	0	3	0
FBgn0051347	865	22	36	39	53
FBgn0005355	1596	316	344	418	382
FBgn0001296	2678	1551	1657	1649	1448
FBgn0038076	1651	17	28	29	25
FBgn0026207	2566	154	170	167	173
FBgn0038070	1774	65	44	72	62
FBgn0005671	2786	14454	14092	11361	11662
FBgn0052865	1357	30	29	17	24
FBgn0013277	2324	46	57	16	43
FBgn0038058	2244	248	263	184	221
FBgn0038056	1694	188	210	160	174
FBgn0038051	1323	5	17	19	26
FBgn0038089	1095	0	2	1	2
FBgn0038092	1892	360	460	236	340
FBgn0038090	1173	0	1	5	3
FBgn0038088	978	472	581	361	547
FBgn0051345	984	730	850	570	577
FBgn0038095	1716	0	1	12	6
FBgn0038099	1880	4	10	39	27
FBgn0038100	2039	2585	2878	2056	2241
FBgn0051342	4054	1733	1861	1491	1831
FBgn0038106	1249	155	148	176	170
FBgn0038108	8450	2825	2545	1895	2830
FBgn0038109	1113	15	24	20	11
FBgn0002354	551	102	99	74	106
FBgn0003308	4337	654	874	489	807
FBgn0038113	1349	92	117	158	152
FBgn0038114	1337	0	2	23	7
FBgn0001217	2174	12	10	16	15
FBgn0051157	1324	7	13	4	5
FBgn0004666	3547	184	185	208	192
FBgn0038118	4337	77	139	171	89
FBgn0038115	1557	464	466	272	440
FBgn0003450	1435	1	0	11	1
FBgn0038110	1318	256	271	262	245
FBgn0038107	851	0	0	0	0
FBgn0038105	1462	348	478	302	446
FBgn0041710	1439	73	53	58	83
FBgn0038102	1136	42	46	40	48
FBgn0038098	3501	250	229	243	264
FBgn0040493	2435	403	411	364	430
FBgn0038097	1213	0	2	0	0
FBgn0038122	795	3	0	9	0
FBgn0038124	920	0	0	21	1
FBgn0038125	862	2	0	10	9
FBgn0040551	487	292	206	152	251
FBgn0003598	5051	777	735	627	768
FBgn0038130	2173	315	369	275	367
FBgn0038133	1157	4	11	23	12
FBgn0038135	3145	1	0	21	3
FBgn0038136	3150	4	1	17	2
FBgn0052473	4559	986	1097	812	1009
FBgn0038140	2752	84	117	108	69
FBgn0045442	1467	0	1	16	0
FBgn0027610	1879	1964	2071	1400	1920
FBgn0038142	643	55	74	15	4
FBgn0038144	1535	26	8	43	16
FBgn0038145	2373	8821	8543	6016	8085
FBgn0038148	749	44	43	34	21
FBgn0041711	1844	251	228	255	304
FBgn0038151	1571	0	0	12	0
FBgn0038150	1319	0	0	20	3
FBgn0038149	1122	1093	1201	1042	1112
FBgn0040553	447	7	18	14	5
FBgn0038147	1459	3120	3186	2412	2660
FBgn0038146	2939	186	169	141	240
FBgn0044511	475	154	227	109	141
FBgn0038143	2859	17886	19248	18074	15294
FBgn0023495	1434	29	31	20	16
FBgn0038134	1147	0	0	8	3
FBgn0038132	863	28	25	31	30
FBgn0038129	2318	455	488	384	529
FBgn0038128	1269	88	117	143	133
FBgn0000024	8473	21361	22177	15803	18033
FBgn0038127	935	30	21	7	28
FBgn0038126	1869	76	43	51	64
FBgn0038123	971	1	0	1	6
FBgn0038153	2415	3	1	21	7
FBgn0000046	1989	4331	3882	3479	2721
FBgn0038158	729	0	0	13	3
FBgn0038159	1026	6	0	3	5
FBgn0051337	849	0	1	9	0
FBgn0038157	585	0	0	0	3
FBgn0040554	6669	374	343	189	251
FBgn0004049	4464	1514	1512	1018	1372
FBgn0038161	576	0	2	13	3
FBgn0038163	2406	13	9	20	11
FBgn0015778	5711	7439	7414	4697	6073
FBgn0038167	2627	482	586	497	502
FBgn0024555	5739	4956	5085	3388	4492
FBgn0038170	1204	79	66	36	69
FBgn0002937	2164	1795	1753	1367	2173
FBgn0038173	1737	141	187	151	210
FBgn0038179	807	941	1030	1311	1083
FBgn0038180	2122	120	137	171	198
FBgn0038181	4318	8313	8657	5165	6425
FBgn0260464	1117	0	0	0	0
FBgn0038183	999	95	126	119	104
FBgn0000454	2102	1394	1539	1067	1666
FBgn0051588	73	0	0	0	0
FBgn0051331	73	0	0	0	0
FBgn0038172	1613	866	1060	850	1029
FBgn0028487	3529	979	1095	801	1075
FBgn0038168	3498	320	326	236	360
FBgn0038166	1226	176	181	170	208
FBgn0038165	4932	2628	2533	1779	2240
FBgn0004237	2759	2284	2260	1907	2123
FBgn0010258	1515	27	15	22	17
FBgn0003060	851	10	3	14	6
FBgn0038160	2169	392	333	107	90
FBgn0000576	2478	196	192	191	216
FBgn0047199	1215	2	0	2	1
FBgn0016672	1402	1490	1696	931	1806
FBgn0015270	1995	9	6	43	2
FBgn0038195	1981	2201	2207	1850	2002
FBgn0038196	1006	317	407	327	218
FBgn0038191	3193	1	7	24	11
FBgn0038190	1685	319	318	0	1
FBgn0038189	1101	0	1	11	10
FBgn0038188	1110	1	0	1	0
FBgn0008646	2122	89	73	113	116
FBgn0038186	688	1	0	0	0
FBgn0051495	1695	46	72	53	49
FBgn0002862	623	2	4	1	6
FBgn0038197	4130	3128	3163	2236	2690
FBgn0038198	922	2423	2877	2563	2363
FBgn0038203	1206	0	0	0	0
FBgn0038206	1377	284	253	140	306
FBgn0038210	860	4	12	18	9
FBgn0027083	4314	214	255	169	220
FBgn0038214	550	49	61	72	61
FBgn0038213	1128	5	15	10	6
FBgn0027563	1449	433	393	255	476
FBgn0053329	1681	267	351	316	356
FBgn0053109	1025	3	2	5	1
FBgn0051326	1761	1755	2013	1723	1965
FBgn0038211	1713	904	917	812	927
FBgn0011582	14565	5690	5592	4796	4769
FBgn0051327	2719	5	3	28	4
FBgn0051533	2704	2	2	18	8
FBgn0038209	945	3	2	1	2
FBgn0038208	3292	9	10	26	14
FBgn0038207	740	17	16	10	16
FBgn0010340	1200	90	116	115	126
FBgn0020510	2528	1646	1426	1271	1372
FBgn0038205	2683	63	66	88	93
FBgn0038204	960	0	0	8	2
FBgn0038202	3476	729	649	465	685
FBgn0038200	714	34	13	26	20
FBgn0038199	857	128	105	110	115
FBgn0011971	82	0	0	0	1
FBgn0038219	981	2	0	10	4
FBgn0038220	3003	1629	1565	1118	1732
FBgn0038221	1843	11	17	44	32
FBgn0004855	1035	235	224	269	223
FBgn0051321	2198	329	351	223	325
FBgn0013767	654	430	389	341	381
FBgn0011474	4183	1268	1210	1194	1107
FBgn0038224	720	3185	3219	3115	2772
FBgn0003480	1384	18	26	18	41
FBgn0038225	1037	2	3	10	6
FBgn0024321	4373	2521	2196	1732	2070
FBgn0051320	3431	332	296	284	301
FBgn0038223	5111	1765	1827	1532	1775
FBgn0003567	3682	736	673	582	688
FBgn0038218	956	1	1	9	0
FBgn0038217	1006	0	1	1	0
FBgn0038234	734	125	134	127	116
FBgn0038236	1623	9251	10952	7134	9948
FBgn0038239	587	6	6	11	2
FBgn0038240	506	2	0	3	1
FBgn0038242	587	2	5	9	4
FBgn0020299	5599	2222	2377	1798	2144
FBgn0038246	2845	2745	2936	2265	2489
FBgn0013981	796	10276	10657	10453	7938
FBgn0038247	6745	36	90	64	73
FBgn0038250	1185	282	359	293	327
FBgn0038251	1548	272	346	303	347
FBgn0038252	1279	10	17	22	13
FBgn0025808	1823	104	134	81	122
FBgn0038248	3436	14	12	49	31
FBgn0003169	4013	1759	1919	1504	1691
FBgn0038244	4416	1481	1516	1087	1737
FBgn0004629	484	18	26	42	28
FBgn0038243	1173	352	326	303	392
FBgn0051313	793	2615	3042	2998	2883
FBgn0038241	483	0	0	0	0
FBgn0038238	663	86	44	61	52
FBgn0038237	6535	3211	2960	2350	2951
FBgn0038235	883	117	118	60	89
FBgn0038233	2512	210	227	197	187
FBgn0038260	1973	69	48	56	58
FBgn0038261	1999	3	3	44	20
FBgn0038262	2071	25	22	24	33
FBgn0038266	1695	66	59	45	75
FBgn0038268	2776	222	224	188	192
FBgn0067628	1284	59	85	87	44
FBgn0067629	1315	65	90	64	72
FBgn0038271	1632	5556	5238	3355	5833
FBgn0038273	1603	0	0	6	4
FBgn0038275	879	110	100	145	109
FBgn0038279	4074	466	502	528	641
FBgn0028662	1352	2206	2011	1617	2031
FBgn0038277	951	8	7	16	5
FBgn0038274	2497	110	80	83	113
FBgn0038272	1510	113	116	102	173
FBgn0004597	1142	92	53	69	65
FBgn0038269	3233	533	578	465	509
FBgn0038258	2654	224	210	171	304
FBgn0038257	1666	556	638	423	543
FBgn0011217	2375	10988	9101	9032	7777
FBgn0038256	2646	915	1079	814	955
FBgn0038280	1265	1	2	12	2
FBgn0038281	784	2	1	7	2
FBgn0038291	1731	0	0	0	0
FBgn0038292	1483	159	210	140	176
FBgn0038296	4431	234	226	226	240
FBgn0038294	5296	17250	18974	16097	14568
FBgn0038290	1428	1430	1463	1241	1311
FBgn0038286	4578	3389	3213	2057	3060
FBgn0038285	756	7	9	0	12
FBgn0038300	2086	118	152	149	155
FBgn0038302	682	172	164	98	160
FBgn0038304	2986	537	480	330	526
FBgn0038307	783	155	218	197	177
FBgn0014879	1169	633	594	593	573
FBgn0016691	802	2266	2259	2002	2457
FBgn0038312	1539	73	113	77	72
FBgn0038313	953	75	77	74	56
FBgn0004117	2613	5136	5382	4356	4350
FBgn0038315	1759	9	7	8	4
FBgn0026441	3988	1169	1218	1007	1258
FBgn0000533	1527	224	228	159	217
FBgn0038319	794	297	345	199	300
FBgn0038320	4628	1159	1179	816	1294
FBgn0021750	2552	288	274	235	289
FBgn0051301	1520	313	373	264	370
FBgn0038324	2702	120	145	73	143
FBgn0038326	1702	290	285	248	354
FBgn0038327	1109	132	138	137	133
FBgn0038331	1589	1748	1903	1613	1382
FBgn0041188	5915	12660	11172	9222	9438
FBgn0038339	4659	58	80	83	45
FBgn0038337	2532	145	166	167	208
FBgn0038334	1545	26	32	21	43
FBgn0038332	2177	74	69	32	77
FBgn0038330	1844	474	625	428	512
FBgn0026737	1001	229	244	215	212
FBgn0026634	3015	257	247	243	288
FBgn0038325	2665	437	461	308	459
FBgn0019925	1641	2316	2273	1907	2017
FBgn0038321	2091	832	951	886	987
FBgn0013269	1299	275	306	256	351
FBgn0038318	2416	258	289	209	385
FBgn0038316	1806	427	344	343	442
FBgn0011476	627	215	244	248	174
FBgn0027378	1511	196	255	263	192
FBgn0000283	4293	3003	3424	2439	2927
FBgn0038311	1814	36	86	75	62
FBgn0038309	1773	6	5	26	7
FBgn0045035	8416	573	673	637	685
FBgn0038306	1804	121	96	111	98
FBgn0051344	1450	791	935	856	839
FBgn0051155	759	133	144	131	121
FBgn0038303	3634	424	500	361	536
FBgn0038301	2262	1238	1330	1010	1393
FBgn0038299	1431	395	484	535	382
